brand,model,variant,year,fuel_type,transmission,owner_count,km_driven,mileage,engine_capacity,cylinders,seating_capacity,safety_rating,city,health_score,maintenance_cost,ex_showroom_price,selling_price
Tata,Harrier,Legender,2019,CNG,Manual,4,94362,25.3,1497,3,5,5,Hyderabad,72,Medium,5.37,4.67
Hyundai,Tucson,Sport,2015,Petrol,Automatic,1,159150,16.1,1197,3,5,4,Hyderabad,78,Low,2.62,2.28
Tata,Harrier,LXI,2024,CNG,Manual,4,24810,26.9,1197,3,5,5,Mumbai,73,Medium,9.25,8.04
Tata,Harrier,VXI,2021,Diesel,Automatic,1,58518,21.7,998,3,5,5,Chennai,97,Medium,13.41,11.66
Mercedes-Benz,S-Class,Legender,2015,CNG,Automatic,1,117448,9.2,1984,4,7,5,Delhi,96,High,50.77,44.15
Hyundai,i20,Crysta,2017,Petrol,Manual,1,132277,20.7,1497,3,5,4,Pune,94,Low,3.08,2.68
Hyundai,Tucson,Crysta,2013,Electric,Automatic,2,187230,18.7,0,0,7,2,Delhi,85,Low,2.3,2.0
Tata,Tiago,LXI,2016,Electric,Manual,1,128160,15.8,0,0,7,4,Chennai,73,Medium,2.48,2.16
Tesla,Model S,Luxury Line,2020,Electric,Automatic,2,73202,538.2,0,0,5,5,Mumbai,83,Medium,78.12,67.93
Tata,Nexon,LXI,2021,Diesel,Automatic,1,69265,16.0,1497,3,5,5,Hyderabad,92,Medium,7.23,6.29
Tesla,Model S,LXI,2025,Electric,Automatic,1,16361,490.5,0,0,5,5,Chennai,87,Medium,134.46,116.92
Honda,Civic,Luxury Line,2021,Diesel,Manual,1,62555,19.8,1498,3,7,4,Bangalore,88,Medium,7.46,6.49
Tata,Punch,Legender,2021,Diesel,Manual,2,49336,15.4,998,3,7,5,Kolkata,96,Medium,5.84,5.08
BMW,X1,LXI,2015,CNG,Automatic,1,153031,13.1,1984,4,7,4,Kolkata,68,High,13.03,11.33
Toyota,Glanza,Performance,2015,CNG,Automatic,1,121550,26.5,1498,3,5,4,Hyderabad,97,Medium,6.61,5.75
Hyundai,Grand i10,VXI,2025,Petrol,Automatic,1,17157,23.3,1497,3,7,3,Kolkata,83,Low,4.9,4.26
BMW,3 Series,Performance,2017,CNG,Automatic,1,105201,9.6,1984,4,7,5,Kolkata,84,High,18.77,16.32
Toyota,Glanza,ZXI,2024,Petrol,Manual,2,19005,18.1,1197,3,5,4,Pune,77,Medium,12.11,10.53
Tesla,Model 3,ZXI,2024,Electric,Automatic,2,19136,502.0,0,0,7,5,Chennai,85,Medium,62.74,54.56
Mercedes-Benz,C-Class,VXI,2019,CNG,Automatic,1,95315,9.4,1984,4,7,4,Chennai,83,High,27.12,23.58
Hyundai,Alcazar,ZXI,2021,Electric,Manual,1,72064,22.3,0,0,7,3,Chennai,95,Low,5.58,4.85
Maruti Suzuki,Alto,Performance,2013,Diesel,Manual,1,162950,18.9,1498,3,5,3,Bangalore,88,Low,1.43,1.24
Mahindra,Bolero,VXI,2018,Petrol,Automatic,1,106963,15.9,1498,3,7,4,Bangalore,86,Medium,6.84,5.95
Tesla,Model S,ZXI,2014,Electric,Automatic,1,154462,537.6,0,0,5,5,Kolkata,86,Medium,41.66,36.23
Audi,A4,Sport,2022,CNG,Automatic,1,57203,10.1,2993,6,7,5,Ahmedabad,77,High,27.66,24.05
Honda,Civic,LXI,2013,Petrol,Automatic,2,158156,20.6,1498,3,5,3,Bangalore,93,Medium,3.36,2.92
BMW,X1,Luxury Line,2022,CNG,Automatic,1,50057,10.4,1984,4,5,5,Ahmedabad,94,High,33.32,28.97
BMW,7 Series,VXI,2020,Diesel,Automatic,2,78229,9.3,1984,4,7,5,Delhi,98,High,80.45,69.96
Mahindra,Thar,Crysta,2024,Electric,Manual,2,22095,15.8,0,0,5,5,Chennai,66,Medium,11.48,9.98
Maruti Suzuki,Alto,ZXI,2020,Electric,Manual,1,77240,15.3,0,0,5,4,Chennai,74,Low,2.58,2.24
Maruti Suzuki,Breza,Crysta,2025,Diesel,Automatic,1,12740,15.0,998,3,5,2,Bangalore,98,Low,8.15,7.09
Hyundai,Verna,Sport,2015,Petrol,Manual,1,134133,22.1,1498,3,5,2,Ahmedabad,66,Low,2.05,1.78
Honda,Amaze,Legender,2018,Diesel,Automatic,1,80876,21.0,1497,3,5,5,Mumbai,89,Medium,6.29,5.47
Maruti Suzuki,Ertiga,LXI,2018,Petrol,Automatic,2,103619,18.1,998,3,7,3,Chennai,73,Low,2.69,2.34
Tata,Punch,Sport,2017,Electric,Manual,2,105518,15.6,0,0,7,4,Hyderabad,67,Medium,3.58,3.11
Maruti Suzuki,Breza,Luxury Line,2016,Electric,Automatic,1,143744,20.8,0,0,7,2,Mumbai,86,Low,3.1,2.7
Hyundai,Verna,Crysta,2018,Electric,Automatic,3,108412,19.5,0,0,7,2,Pune,70,Low,3.19,2.77
Hyundai,Grand i10,Legender,2021,CNG,Automatic,1,61327,25.0,1497,3,7,3,Kolkata,75,Low,2.81,2.44
Tata,Altroz,LXI,2012,CNG,Manual,1,182558,27.7,1497,3,5,5,Bangalore,93,Medium,2.29,1.99
Honda,City,Performance,2015,Electric,Manual,1,143933,21.1,0,0,7,4,Delhi,73,Medium,3.51,3.05
BMW,X1,Sport,2022,Petrol,Automatic,2,48221,12.0,1984,4,5,4,Pune,93,High,34.98,30.42
Tesla,Model Y,Performance,2023,Electric,Automatic,2,40348,440.4,0,0,5,5,Ahmedabad,70,Medium,85.24,74.12
Tata,Tiago,ZXI,2013,CNG,Automatic,2,192447,28.4,1197,3,7,5,Delhi,77,Medium,1.45,1.26
Toyota,Camry,Crysta,2012,CNG,Automatic,2,185461,27.0,998,3,5,5,Ahmedabad,98,Medium,8.99,7.82
BMW,7 Series,LXI,2013,Petrol,Automatic,1,143532,12.1,2993,6,5,5,Bangalore,92,High,42.72,37.15
Hyundai,Alcazar,Luxury Line,2014,Diesel,Automatic,3,147589,17.0,1497,3,7,4,Pune,77,Low,2.15,1.87
Honda,Amaze,LXI,2021,Diesel,Manual,1,68380,20.6,1497,3,5,5,Mumbai,70,Medium,6.3,5.48
Tesla,Model Y,Sport,2022,Electric,Automatic,1,51277,475.4,0,0,5,4,Pune,95,Medium,103.02,89.58
BMW,X1,Crysta,2019,Diesel,Automatic,1,70160,11.8,2998,6,5,5,Chennai,87,High,30.35,26.39
Honda,Amaze,Crysta,2020,CNG,Manual,1,84345,24.4,1197,3,5,3,Pune,89,Medium,5.08,4.42
Toyota,Innova,LXI,2025,CNG,Manual,2,10364,26.5,2393,4,7,5,Pune,96,Medium,22.09,19.21
Hyundai,Grand i10,ZXI,2020,Diesel,Automatic,1,81414,17.5,1498,3,7,3,Delhi,92,Low,3.58,3.11
Mahindra,Scorpio,Legender,2024,Petrol,Automatic,1,27601,20.1,2184,4,7,5,Delhi,89,Medium,17.58,15.29
Audi,Q3,Crysta,2025,Petrol,Automatic,3,15211,11.4,2998,6,7,5,Hyderabad,97,High,44.6,38.78
Audi,A4,Crysta,2012,CNG,Automatic,1,141697,9.9,2993,6,7,5,Chennai,75,High,11.09,9.64
Tesla,Model S,VXI,2025,Electric,Automatic,2,9902,410.0,0,0,5,5,Chennai,86,Medium,125.1,108.78
BMW,7 Series,Crysta,2016,Electric,Automatic,3,106959,506.6,0,0,5,5,Ahmedabad,75,High,44.54,38.73
Honda,Civic,ZXI,2012,Diesel,Manual,1,202460,18.8,1498,3,5,4,Ahmedabad,68,Medium,2.18,1.9
Audi,A6,Sport,2020,Electric,Automatic,3,78809,441.9,0,0,7,5,Pune,95,High,52.61,45.75
Toyota,Glanza,VXI,2020,CNG,Automatic,2,73354,28.2,1498,3,7,5,Pune,83,Medium,8.56,7.44
Tesla,Model S,Luxury Line,2020,Electric,Automatic,1,80124,407.5,0,0,5,5,Chennai,93,Medium,85.35,74.22
Mercedes-Benz,E-Class,LXI,2015,CNG,Automatic,1,157974,13.4,2993,6,5,4,Hyderabad,79,High,31.64,27.51
Hyundai,Grand i10,Sport,2017,Diesel,Manual,3,121468,23.8,1197,3,7,3,Ahmedabad,95,Low,2.0,1.74
Mahindra,Scorpio,Legender,2016,Diesel,Manual,2,101305,16.6,1997,4,7,5,Mumbai,90,Medium,7.93,6.9
Honda,Amaze,Sport,2012,Petrol,Automatic,1,140938,23.9,1498,3,5,5,Ahmedabad,82,Medium,2.78,2.42
Hyundai,Verna,Performance,2014,Diesel,Manual,2,164323,22.1,1197,3,5,3,Kolkata,92,Low,2.2,1.91
Hyundai,Grand i10,Luxury Line,2022,Diesel,Automatic,1,41151,17.2,1497,3,7,2,Pune,86,Low,4.22,3.67
Tesla,Model S,Luxury Line,2021,Electric,Automatic,1,49750,373.6,0,0,5,5,Kolkata,97,Medium,93.32,81.15
Hyundai,Tucson,Sport,2016,Diesel,Manual,1,128718,19.1,1497,3,7,3,Ahmedabad,78,Low,2.67,2.32
Tesla,Model 3,Performance,2020,Electric,Automatic,2,85607,372.4,0,0,5,5,Bangalore,75,Medium,40.84,35.51
Audi,Q5,LXI,2013,Electric,Automatic,2,156420,439.1,0,0,5,5,Kolkata,94,High,27.4,23.83
Audi,Q5,LXI,2022,Electric,Automatic,2,45452,499.2,0,0,5,4,Chennai,69,High,59.13,51.42
Hyundai,Grand i10,Crysta,2012,Diesel,Manual,2,174612,23.8,1498,3,7,4,Kolkata,93,Low,1.38,1.2
BMW,3 Series,Legender,2022,CNG,Automatic,1,54846,12.2,2993,6,5,5,Mumbai,84,High,34.01,29.57
Audi,Q5,Sport,2020,Diesel,Automatic,1,77404,10.7,1998,4,5,5,Kolkata,66,High,44.41,38.62
Toyota,Fortuner,ZXI,2013,Electric,Automatic,1,188795,15.4,0,0,7,5,Hyderabad,68,Medium,11.38,9.9
Audi,Q3,Crysta,2015,CNG,Automatic,1,162133,9.9,2993,6,7,5,Mumbai,76,High,14.63,12.72
Audi,Q5,ZXI,2012,CNG,Automatic,1,180738,10.8,2993,6,7,4,Hyderabad,84,High,20.62,17.93
Mercedes-Benz,C-Class,LXI,2020,Diesel,Automatic,1,82104,10.2,1998,4,7,5,Delhi,77,High,33.65,29.26
Mahindra,Bolero,LXI,2022,Petrol,Manual,1,64698,21.9,1197,3,7,4,Chennai,84,Medium,8.3,7.22
Toyota,Innova,Performance,2023,Diesel,Manual,1,35729,17.2,2755,6,7,5,Kolkata,94,Medium,22.33,19.42
Mahindra,Scorpio,Performance,2017,Electric,Manual,2,130947,21.5,0,0,7,5,Chennai,78,Medium,7.66,6.66
Tata,Altroz,Crysta,2012,Diesel,Manual,1,203137,23.4,1498,3,7,4,Chennai,79,Medium,2.23,1.94
Tesla,Model 3,ZXI,2019,Electric,Automatic,3,102100,478.3,0,0,7,5,Chennai,75,Medium,31.75,27.61
Audi,Q5,ZXI,2014,Petrol,Automatic,3,169254,13.0,1998,4,7,4,Hyderabad,69,High,20.98,18.24
Maruti Suzuki,Baleno,LXI,2020,Petrol,Automatic,1,83524,15.1,1498,3,5,2,Pune,83,Low,3.7,3.22
Audi,Q5,Performance,2024,Petrol,Automatic,1,19689,12.7,2998,6,7,4,Kolkata,70,High,63.96,55.62
BMW,X5,LXI,2021,CNG,Automatic,1,58660,14.1,1998,4,5,5,Kolkata,95,High,54.37,47.28
Maruti Suzuki,Ertiga,Sport,2014,Electric,Automatic,1,131313,22.7,0,0,7,2,Mumbai,79,Low,2.53,2.2
Tesla,Model Y,Crysta,2016,Electric,Automatic,1,100028,520.1,0,0,5,4,Hyderabad,74,Medium,52.5,45.65
Hyundai,Verna,VXI,2014,Electric,Automatic,1,174367,21.7,0,0,5,3,Chennai,68,Low,2.44,2.12
BMW,5 Series,Crysta,2025,CNG,Automatic,3,6245,11.0,2998,6,7,5,Chennai,89,High,71.01,61.75
Honda,WR-V,Performance,2022,CNG,Manual,2,48856,22.7,1197,3,7,5,Bangalore,89,Medium,6.45,5.61
Tata,Nexon,Crysta,2013,Electric,Automatic,2,130596,15.9,0,0,5,4,Ahmedabad,97,Medium,3.27,2.84
Hyundai,i20,ZXI,2013,Petrol,Automatic,2,171767,15.1,1498,3,5,3,Hyderabad,98,Low,2.35,2.04
BMW,5 Series,Luxury Line,2014,CNG,Automatic,1,146357,10.0,2998,6,7,4,Delhi,88,High,26.66,23.18
Toyota,Camry,Performance,2021,Petrol,Manual,1,60506,23.5,1497,3,7,5,Chennai,93,Medium,24.63,21.42
BMW,7 Series,Performance,2014,Diesel,Automatic,1,149785,14.8,2998,6,7,5,Ahmedabad,80,High,40.32,35.06
BMW,X1,Sport,2025,Electric,Automatic,1,17875,462.8,0,0,5,5,Mumbai,94,High,62.91,54.7
Mercedes-Benz,GLA,Crysta,2025,Petrol,Automatic,1,16351,9.8,2998,6,5,4,Bangalore,92,High,62.92,54.71
Hyundai,Grand i10,Sport,2021,Electric,Automatic,1,74164,22.1,0,0,7,3,Delhi,71,Low,3.55,3.09
Tata,Harrier,Sport,2022,Electric,Automatic,3,45675,18.9,0,0,5,4,Hyderabad,97,Medium,13.83,12.03
Mercedes-Benz,GLA,ZXI,2018,Diesel,Automatic,4,114987,11.9,2998,6,7,5,Delhi,72,High,20.65,17.96
Tata,Safari,Luxury Line,2017,Electric,Automatic,1,121959,18.9,0,0,7,5,Chennai,69,Medium,7.57,6.58
Maruti Suzuki,Ertiga,Legender,2013,Petrol,Manual,3,133025,21.7,1197,3,7,3,Chennai,92,Low,1.63,1.42
Toyota,Camry,LXI,2022,Electric,Automatic,1,44097,20.5,0,0,5,5,Kolkata,89,Medium,32.17,27.97
Toyota,Innova,Performance,2016,Petrol,Manual,1,109579,16.8,2694,6,7,4,Ahmedabad,98,Medium,10.88,9.46
Tesla,Model Y,ZXI,2021,Electric,Automatic,1,70692,441.6,0,0,5,4,Pune,70,Medium,76.18,66.24
Tata,Nexon,Legender,2015,Diesel,Automatic,1,134427,19.6,1498,3,5,5,Kolkata,76,Medium,3.28,2.85
Audi,A6,Sport,2020,CNG,Automatic,1,71218,14.1,1998,4,7,5,Ahmedabad,73,High,40.04,34.82
BMW,7 Series,Luxury Line,2020,Electric,Automatic,2,86027,438.8,0,0,5,4,Mumbai,79,High,78.95,68.65
Maruti Suzuki,Breza,LXI,2015,Diesel,Automatic,1,158173,22.0,1498,3,5,3,Pune,88,Low,2.46,2.14
Mercedes-Benz,S-Class,VXI,2015,Diesel,Automatic,2,144979,9.2,2998,6,7,5,Delhi,93,High,53.34,46.38
Toyota,Innova,Luxury Line,2024,Electric,Manual,1,30376,22.1,0,0,7,5,Mumbai,87,Medium,27.63,24.03
Tesla,Model S,Crysta,2014,Electric,Automatic,3,151606,452.9,0,0,5,5,Delhi,73,Medium,33.84,29.43
Maruti Suzuki,Breza,Crysta,2025,Diesel,Manual,1,15746,21.4,1197,3,7,3,Pune,91,Low,6.26,5.44
Mercedes-Benz,C-Class,VXI,2022,CNG,Automatic,1,44648,11.9,1998,4,5,5,Ahmedabad,87,High,36.43,31.68
Audi,Q5,LXI,2015,Electric,Automatic,1,147179,406.7,0,0,5,5,Ahmedabad,86,High,33.64,29.25
Maruti Suzuki,Swift,ZXI,2022,Petrol,Manual,1,50322,15.0,1498,3,5,4,Bangalore,84,Low,4.53,3.94
Mahindra,Thar,VXI,2022,Petrol,Automatic,1,50910,20.8,1997,4,7,5,Hyderabad,92,Medium,12.3,10.7
Hyundai,i20,Legender,2015,Diesel,Manual,1,149242,19.0,998,3,5,4,Kolkata,73,Low,2.27,1.97
Hyundai,Creta,LXI,2018,Petrol,Automatic,1,82526,17.7,1498,3,5,3,Bangalore,69,Low,3.65,3.17
Tesla,Model S,VXI,2014,Electric,Automatic,2,164013,473.2,0,0,5,5,Hyderabad,70,Medium,36.47,31.71
Honda,City,Luxury Line,2021,Electric,Automatic,2,66484,17.2,0,0,5,4,Pune,66,Medium,6.26,5.44
Toyota,Corolla Altis,Legender,2021,Electric,Automatic,1,68960,22.1,0,0,5,5,Delhi,80,Medium,12.68,11.03
Tesla,Model 3,VXI,2020,Electric,Automatic,1,61504,517.8,0,0,7,5,Bangalore,95,Medium,52.74,45.86
Maruti Suzuki,Dzire,Crysta,2013,Diesel,Manual,3,130751,23.5,1498,3,7,3,Kolkata,92,Low,1.66,1.44
Hyundai,Tucson,Luxury Line,2020,CNG,Manual,1,83925,26.6,1197,3,5,3,Kolkata,69,Low,3.04,2.64
BMW,5 Series,LXI,2012,Electric,Automatic,1,164440,471.8,0,0,7,5,Bangalore,72,High,27.02,23.5
Honda,City,Crysta,2014,CNG,Manual,1,169472,28.7,1497,3,5,5,Mumbai,86,Medium,2.89,2.51
Mahindra,XUV300,VXI,2013,Petrol,Automatic,1,162449,18.2,1498,3,5,5,Pune,71,Medium,3.35,2.91
Toyota,Corolla Altis,Sport,2012,Diesel,Manual,1,140241,18.4,1197,3,5,5,Mumbai,91,Medium,5.3,4.61
Tata,Harrier,VXI,2018,Petrol,Automatic,1,100404,21.1,998,3,5,4,Mumbai,90,Medium,9.14,7.95
Mercedes-Benz,GLA,Sport,2024,Petrol,Automatic,1,25452,10.2,2998,6,5,5,Ahmedabad,77,High,45.34,39.43
Honda,City,Legender,2018,CNG,Manual,3,80377,22.0,1498,3,7,3,Hyderabad,91,Medium,3.97,3.45
Maruti Suzuki,Baleno,ZXI,2023,Petrol,Manual,2,33400,19.7,1497,3,5,4,Delhi,71,Low,3.86,3.36
BMW,3 Series,Performance,2021,Electric,Automatic,1,69275,402.2,0,0,7,5,Kolkata,85,High,35.39,30.77
Mercedes-Benz,GLA,Legender,2015,Diesel,Automatic,1,115042,10.0,1984,4,7,5,Chennai,78,High,21.82,18.97
Mahindra,Bolero,VXI,2016,Diesel,Automatic,2,106301,21.3,998,3,5,5,Chennai,74,Medium,4.96,4.31
Toyota,Glanza,Legender,2018,CNG,Automatic,2,109450,23.6,1498,3,7,5,Hyderabad,71,Medium,6.59,5.73
Hyundai,Creta,VXI,2013,Diesel,Manual,1,127271,18.6,998,3,7,4,Delhi,66,Low,1.94,1.69
Toyota,Camry,LXI,2024,CNG,Manual,1,18616,26.1,1197,3,7,5,Kolkata,96,Medium,28.82,25.06
